Nº;HORTALIZAS;0;CAL;PR;GR;HC;H20;NE.;A;B1;B2;C;Niac;Na;K;Ca;Mg;Fe;Cu;P;S;Cl
66;acederas;crudas;18;2,5;0,4;2,2;92,2;3,4;14000;68;0;60000;0;0;0;0;0;1,4;0;0;0;0
67;acederas;cocidas ;5;0,9;0,1;1,1;96,3;2,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
68;acelgas ;crudas;18;1,9;0,3;2,4;92,7;2,6;2000;78;277;38000;0;0;0;0;0;0;0;0;0;0
69;acelgas ;cocidas ;5;0,36;0;0,9;97,2;1,5;0;41;0;0;0;0;0;0;0;0;0;0;0;0
70;achicoria;cruda;16;1,2;0,2;2,9;95,1;1,8;7000;75;180;12000;510;18;297;52;12,6;0,8;0,14;32;21;46
71;achicoria;tostada ;280;28,1;2;42;15;12;0;0;0;0;0;64;746;114,3;96,2;58,1;15;181,6;133,1;176,3
72;ajo;bulbo;115;6,6;0,1;26,1;66,2;0;0;0;0;12800;0;0;0;10;0;2;0;140;0;0
73;alcachofa;cruda;67;3;0,8;18,8;77,2;0,12;212;116;80;7500;0;87;572;66,3;47,2;1,8;0,6;81;28;105
74;alcachofa;cocidas ;16;1,1;0,2;3,5;93,7;0,7;0;0;0;0;0;14,8;327;43,5;27,2;0,49;0,09;39,7;15,5;83,5
75;apio;crudos;19;1,2;0,2;4,5;73,2;0,9;23;35;42;7500;390;120;285;52,2;18;0,51;0,11;39;19;154
76;apio;cocidos;9,5;1;0,15;2,1;96,1;0;0;20;20;8000;200;66,5;132;43;8,6;0,35;1;22;8,3;100
77;batata;cruda;127;2,1;0,6;29,5;66,5;1,2;6000;98;88;17000;600;41;385;38;22,1;0,75;0,3;55;22;95
78;batata;cocidas ;98;1,7;0,5;26;77;0,9;5800;80;55;14000;550;17,8;296;27;12,3;0,65;0,15;47,1;14,9;60
79;berenjena;cruda;19;1,2;0,2;4,9;92,8;0,8;50;62;50;5100;600;8;218;13,2;12;0,42;0,08;25,1;12;61
80;berenjena;cocidas ;10;1,1;0;2,6;95,6;0,8;0;0;0;0;0;1,6;173,2;8,3;6,4;0,18;0,05;6,3;4,72;36
81;berros;crudos;25;2,1;0,3;47,7;91,8;1,1;3600;112;195;63000;860;60;314;192;24;2,9;0,13;49;145;118
82;brocoli;crudos;29;3,2;0,2;4,9;86,7;1;4200;97;190;116000;1100;17;290;138;67;1,4;0,1;68;97;51,2
83;brocoli;cocidos;17;1,3;0,13;4,2;93;0;2870;65;130;60000;700;0;0;90;0;1,1;0;34;0;0
84;calabaza;cruda;28;0,7;0,1;6,3;91,8;0,4;500;50;60;9000;380;2,8;309;39;9,5;0,62;0,08;28;9,9;38,7
85;calabaza;cocidas ;21;1,08;0,22;4,8;93,1;0,12;80;56;75;30500;320;1,1;283;16,2;4,3;0,31;0,05;18,7;4,7;23,7
86;calabacin;crudo ;23;4,2;0,1;7,3;88,1;1,2;16;45;80;9000;0;1,7;291;19;9,6;0,42;0,07;20,1;8,9;43,2
