Nº,HORTALIZAS,0,A,B1,B2,C,Niac,Na,K,Ca,Mg,Fe,Cu,P,S,Cl
66,acederas,crudas,14000.00,68.00,0.00,60000.00,0.00,0.00,0.00,0.00,0.00,1.40,0.00,0.00,0.00,0.00
67,acederas,cocidas ,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
68,acelgas ,crudas,2000.00,78.00,277.00,38000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
69,acelgas ,cocidas ,0.00,41.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
70,achicoria,cruda,7000.00,75.00,180.00,12000.00,510.00,18.00,297.00,52.00,12.60,0.80,0.14,32.00,21.00,46.00
71,achicoria,tostada ,0.00,0.00,0.00,0.00,0.00,64.00,746.00,114.30,96.20,58.10,15.00,181.60,133.10,176.30
72,ajo,bulbo,0.00,0.00,0.00,12800.00,0.00,0.00,0.00,10.00,0.00,2.00,0.00,140.00,0.00,0.00
73,alcachofa,cruda,212.00,116.00,80.00,7500.00,0.00,87.00,572.00,66.30,47.20,1.80,0.60,81.00,28.00,105.00
74,alcachofa,cocidas ,0.00,0.00,0.00,0.00,0.00,14.80,327.00,43.50,27.20,0.49,0.09,39.70,15.50,83.50
75,apio,crudos,23.00,35.00,42.00,7500.00,390.00,120.00,285.00,52.20,18.00,0.51,0.11,39.00,19.00,154.00
76,apio,cocidos,0.00,20.00,20.00,8000.00,200.00,66.50,132.00,43.00,8.60,0.35,1.00,22.00,8.30,100.00
77,batata,cruda,6000.00,98.00,88.00,17000.00,600.00,41.00,385.00,38.00,22.10,0.75,0.30,55.00,22.00,95.00
78,batata,cocidas ,5800.00,80.00,55.00,14000.00,550.00,17.80,296.00,27.00,12.30,0.65,0.15,47.10,14.90,60.00
79,berenjena,cruda,50.00,62.00,50.00,5100.00,600.00,8.00,218.00,13.20,12.00,0.42,0.08,25.10,12.00,61.00
80,berenjena,cocidas ,0.00,0.00,0.00,0.00,0.00,1.60,173.20,8.30,6.40,0.18,0.05,6.30,4.72,36.00
81,berros,crudos,3600.00,112.00,195.00,63000.00,860.00,60.00,314.00,192.00,24.00,2.90,0.13,49.00,145.00,118.00
82,brocoli,crudos,4200.00,97.00,190.00,116000.00,1100.00,17.00,290.00,138.00,67.00,1.40,0.10,68.00,97.00,51.20
83,brocoli,cocidos,2870.00,65.00,130.00,60000.00,700.00,0.00,0.00,90.00,0.00,1.10,0.00,34.00,0.00,0.00
84,calabaza,cruda,500.00,50.00,60.00,9000.00,380.00,2.80,309.00,39.00,9.50,0.62,0.08,28.00,9.90,38.70
85,calabaza,cocidas ,80.00,56.00,75.00,30500.00,320.00,1.10,283.00,16.20,4.30,0.31,0.05,18.70,4.70,23.70
86,calabacin,crudo ,16.00,45.00,80.00,9000.00,0.00,1.70,291.00,19.00,9.60,0.42,0.07,20.10,8.90,43.20
87,calabacin,cocidos,0.00,9.00,0.00,0.00,0.00,0.90,86.00,21.40,3.90,0.17,0.03,18.60,3.90,35.70
88,cardo,crudo,6100.00,60.00,125.00,24000.00,400.00,81.00,549.00,89.00,58.00,2.60,0.15,75.00,125.00,153.00
89,cardo,cocidos,4600.00,32.00,89.00,14000.00,800.00,25.70,286.00,73.00,42.30,1.80,0.06,57.00,63.30,96.40
90,cardillo,crudo,820.00,45.00,95.00,8000.00,0.00,29.70,315.00,40.10,53.20,1.50,0.04,112.90,56.30,82.50
91,cardillo,cocidos,0.00,0.00,0.00,0.00,0.00,15.60,182.00,23.60,23.10,0.63,0.03,79.80,41.80,61.60
92,cebolla,crudo,50.00,35.00,32.00,7500.00,200.00,8.20,137.00,31.20,9.30,0.40,0.11,42.00,60.00,21.00
93,cebolla,cocidas ,34.00,15.00,21.00,4500.00,158.00,6.60,78.00,24.40,4.90,0.25,0.07,19.00,23.70,4.90
94,Cebolla,frita,0,0,0,0,0,20.00,267.00,61.00,14.80,0.59,0.16,59.00,87.80,38.00
95,col,cruda,100.00,90.00,80.00,51000.00,280.00,29.20,260.00,61.00,14.80,0.90,0.08,36.00,69.00,39.60
96,col,cocidas ,0,73,0,31000.00,0,13.50,144.00,58.20,7.30,0.47,0.04,16.20,23.40,13.70
